Title,Price,Location,Link
N/A,600AZN/ay,8 Noyabr m.,https://bina.az/items/5173881
N/A,4 800 000AZN,Şıxov q.,https://bina.az/items/4890046
N/A,1 000AZN/ay,Nəsimi r.,https://bina.az/items/4983409
N/A,185 000AZN,Həzi Aslanov m.,https://bina.az/items/5139265
N/A,335 000AZN,Nəriman Nərimanov m.,https://bina.az/items/5127570
N/A,285 000AZN,Qaraçuxur q.,https://bina.az/items/4479443
N/A,100 000AZN,Qala q.,https://bina.az/items/3751493
N/A,4 400AZN/ay,Nəsimi r.,https://bina.az/items/2753210
N/A,174 000AZN,Qaraçuxur q.,https://bina.az/items/5198624
N/A,1 450AZN/ay,Şah İsmayıl Xətai m.,https://bina.az/items/5206375
N/A,499 000AZN,Ağ şəhər q.,https://bina.az/items/5194853
N/A,850AZN/ay,Nəriman Nərimanov m.,https://bina.az/items/5180541
N/A,133 000AZN,8-ci mikrorayon q.,https://bina.az/items/5147700
N/A,650 000AZN,Mərdəkan q.,https://bina.az/items/5193636
N/A,150 000AZN,Buzovna q.,https://bina.az/items/5134212
N/A,10 200AZN/ay,Novxanı q.,https://bina.az/items/4898500
